headline,web_url,pub_date,byline,section,full_text
Who’s a ‘Colonizer’? How an Old Word Became a New Weapon,https://www.nytimes.com/2023/12/10/world/europe/colonialist-word-gaza-ukraine.html,2023-12-10T10:01:03+0000,By Roger Cohen,World,
"Israeli Raids in West Bank Focus on Jenin, Long a Resistance Hub",https://www.nytimes.com/2025/01/22/world/middleeast/israel-west-bank-jenin-raids.html,2025-01-22T12:07:30+0000,"By Lara Jakes, Fatima AbdulKarim and Hiba Yazbek",World,
The Hamas Chief and the Israeli Who Saved His Life,https://www.nytimes.com/2024/05/26/world/middleeast/hamas-sinwar-israel-doctor-prison-swap.html,2024-05-26T07:00:44+0000,By Jo Becker and Adam Sella,World,
"Saudi-Israel Ties Depend on Steps Toward a Palestinian State, Blinken Says",https://www.nytimes.com/2024/01/09/world/middleeast/blinken-israel-saudi-palestinian-state.html,2024-01-09T11:12:48+0000,By Edward Wong and Vivian Nereim,World,
Meet the Champions of Nuance and Empathy We Need,https://www.nytimes.com/2023/11/08/opinion/israel-palestine-war-family-loss.html,2023-11-09T00:00:13+0000,By Nicholas Kristof,Opinion,
Rally in Michigan Urges Protest Vote Against Biden’s Israel Policies,https://www.nytimes.com/2024/02/25/us/biden-michigan-israel-gaza.html,2024-02-26T04:13:54+0000,By Anjali Huynh,U.S.,
"Between Israelis and Palestinians, a Lethal Psychological Chasm Grows",https://www.nytimes.com/2023/11/20/world/middleeast/israelis-palestinians-conflict.html,2023-11-20T10:01:47+0000,By Roger Cohen,World,
Israeli Soldiers Throw Three Seemingly Lifeless Palestinians Off a Roof,https://www.nytimes.com/2024/09/20/world/middleeast/israel-soldiers-palestinian-bodies-roof.html,2024-09-20T17:57:26+0000,By Raja Abdulrahim and Aric Toler,World,
How the War in Gaza Mobilized the American Left,https://www.nytimes.com/2024/04/12/us/politics/palestine-israel-democrats.html,2024-04-12T09:00:17+0000,"By Katie Glueck, Katie Benner and Sheera Frenkel",U.S.,
How Palestinians in New York Feel About Trump’s Gaza Takeover Plan,https://www.nytimes.com/2025/02/06/nyregion/palestinians-ny-trump-gaza.html,2025-02-06T10:02:25+0000,By Shauntel Lowe,New York,
Israeli and Palestinian Activists Ask Americans to Take Side of Peace,https://www.nytimes.com/2023/11/17/world/middleeast/israel-palestinians-standing-together.html,2023-11-17T05:02:01+0000,By Talya Minsberg,World,
"How to Be Pro-Palestinian, Pro-Israeli and Pro-Iranian",https://www.nytimes.com/2024/04/16/opinion/israel-iran-gaza.html,2024-04-16T20:46:05+0000,By Thomas L. Friedman,Opinion,
"At Harvard, a Battle Over What Should Be Said About the Hamas Attacks",https://www.nytimes.com/2023/10/10/us/harvard-israel-gaza-hamas-reaction.html,2023-10-10T23:52:47+0000,"By Anemona Hartocollis, Stephanie Saul and Vimal Patel",U.S.,
What Is the Path to Peace in Gaza? Here Are 10 Ideas.,https://www.nytimes.com/interactive/2023/12/12/opinion/gaza-israel-palestinians-plans.html,2023-12-12T10:01:36+0000,,Opinion,
"At Hanukkah Rally in New York, Prayers, Candles and Calls for Cease-Fire",https://www.nytimes.com/2023/12/07/nyregion/ceasefire-rally-hanukkah-new-york.html,2023-12-08T02:23:24+0000,By Claire Fahy,New York,
Democrats Ignored Gaza and Brought Down Their Party,https://www.nytimes.com/2024/11/07/opinion/democrats-israel-gaza-war.html,2024-11-07T10:04:38+0000,By Peter Beinart,Opinion,
Protest Against Gaza War Draws Thousands to the White House,https://www.nytimes.com/2024/06/08/us/politics/white-house-gaza-protest.html,2024-06-09T00:55:27+0000,By Minho Kim,U.S.,
Transcript: Ezra Klein Interviews Tareq Baconi,https://www.nytimes.com/2023/12/05/podcasts/transcript-ezra-klein-interviews-tareq-baconi.html,2023-12-05T18:00:03+0000,,Podcasts,
Pro-Palestinian Groups Seek to Thwart Josh Shapiro’s Chances for Harris’s V.P.,https://www.nytimes.com/2024/08/01/us/politics/shapiro-vp-israel.html,2024-08-01T09:04:19+0000,By Jonathan Weisman and Hiroko Masuike,U.S.,
The View Within Israel Turns Bleak,https://www.nytimes.com/2024/05/16/opinion/israeli-palestine-psyche.html,2024-05-16T18:40:06+0000,By Megan K. Stack,Opinion,
Gaza War Widens Gap Between Arab Rulers and Citizens,https://www.nytimes.com/2023/12/06/world/middleeast/gaza-israel-hamas-war-bahrain.html,2023-12-06T10:01:51+0000,By Vivian Nereim,World,
Was Peace Ever Possible?,https://www.nytimes.com/interactive/2023/11/20/magazine/israel-gaza-oslo-accords.html,2023-11-20T23:23:09+0000,Moderated by Emily Bazelon,Magazine,
"At Stanford, 2 Reports on Bias Show Extent of Divide Between Jews and Muslims",https://www.nytimes.com/2024/06/20/us/stanford-antisemitism-muslims-report.html,2024-06-21T02:48:28+0000,By Anemona Hartocollis,U.S.,
Protests Over Gaza Intensify at American Art Museums,https://www.nytimes.com/2024/04/02/arts/design/israel-gaza-protests-museums.html,2024-04-02T19:17:08+0000,By Zachary Small and Marc Tracy,Arts,
America May Soon Face a Fateful Choice About Iran,https://www.nytimes.com/2024/08/01/opinion/iran-israel-war.html,2024-08-01T18:31:47+0000,By Thomas L. Friedman,Opinion,
Gaza War Strains Europe’s Efforts at Social Cohesion,https://www.nytimes.com/2024/11/15/world/europe/israel-gaza-war-europe.html,2024-11-15T15:07:14+0000,By Steven Erlanger,World,
"Peace, a Forgotten Word, Renews its Claim in the Holy Land",https://www.nytimes.com/2023/10/22/world/middleeast/peace-activists-israel-palestinian.html,2023-10-22T09:01:11+0000,By Roger Cohen,World,
Transcript: Ezra Klein Interviews Amjad Iraqi,https://www.nytimes.com/2023/11/07/podcasts/ezra-klein-interviews-amjad-iraqi.html,2023-11-07T18:37:56+0000,,Podcasts,
Columbia University Postpones a Fund-Raiser as Divisions Over War Deepen,https://www.nytimes.com/2023/10/24/nyregion/columbia-giving-day-israel-hamas-war.html,2023-10-24T18:32:58+0000,By Sharon Otterman,New York,
Understanding Israel’s Hard Choices,https://www.nytimes.com/2023/10/12/opinion/israel-hamas-president-biden.html,2023-10-12T09:02:39+0000,By Thomas L. Friedman and Vishakha Darbha,Opinion,
"As Hamas Exchanges Gaza Hostages, It Puts on a Show of Force",https://www.nytimes.com/2025/01/25/world/middleeast/israel-gaza-hostage-prisoner-swap.html,2025-01-25T22:07:32+0000,"By Patrick Kingsley, Aaron Boxerman, Adam Rasgon and Thomas Fuller",World,
The War in Gaza and the Emerging Rift in American Jewish Life,https://www.nytimes.com/2024/04/01/opinion/jewish-liberalism.html,2024-04-01T09:04:51+0000,"By Peter Beinart, Max Strasser and Jillian Weinberger",Opinion,
White House Disavows U.S. Islamic Group After Leader’s Oct. 7 Remarks,https://www.nytimes.com/2023/12/08/us/politics/white-house-cair-nihad-awad.html,2023-12-08T06:09:32+0000,By Peter Baker,U.S.,
What Will Israel’s Ban of a U.N. Aid Agency Mean for Palestinians?,https://www.nytimes.com/2025/01/30/world/middleeast/israel-ban-unrwa-palestinians.html,2025-01-30T11:22:57+0000,By Natan Odenheimer,World,
Biden’s Moral Failure in Israel,https://www.nytimes.com/2024/10/08/opinion/bidens-moral-failure-in-israel.html,2024-10-08T09:02:14+0000,By Peter Beinart,Opinion,
Here Is the Missing Context in Ta-Nehisi Coates’s ‘The Message’,https://www.nytimes.com/2024/10/24/opinion/israel-palestine-coates-settler.html,2024-10-24T09:04:13+0000,By Pamela Paul,Opinion,
Israel’s Controlled Demolitions Are Razing Neighborhoods in Gaza,https://www.nytimes.com/interactive/2024/02/01/world/middleeast/Israel-gaza-war-demolish.html,2024-02-01T05:01:01+0000,"By Leanne Abraham, Bora Erden, Nader Ibrahim, Elena Shao and Haley Willis",World,
The Discourse Is Toxic. Universities Can Help.,https://www.nytimes.com/2023/10/30/opinion/princeton-columbia-israel-gaza.html,2023-10-30T09:02:18+0000,By Amaney Jamal and Keren Yarhi-Milo,Opinion,
Peace Activists Are Among the Israelis Missing and Killed,https://www.nytimes.com/2023/10/10/world/middleeast/peace-activists-killed-israel.html,2023-10-10T09:25:40+0000,By Roni Caryn Rabin,World,
Behind Hamas’s Bloody Gambit to Create a ‘Permanent’ State of War,https://www.nytimes.com/2023/11/08/world/middleeast/hamas-israel-gaza-war.html,2023-11-08T10:02:19+0000,By Ben Hubbard and Maria Abi-Habib,World,
How Republicans Echo Antisemitic Tropes Despite Declaring Support for Israel,https://www.nytimes.com/2024/05/09/us/antisemitism-republicans-trump.html,2024-05-09T09:06:43+0000,"By Karen Yourish, Danielle Ivory, Jennifer Valentino-DeVries and Alex Lemonides",U.S.,
"As Irish Leader Visits U.S., Shamrock Camaraderie Is Strained by Gaza War",https://www.nytimes.com/2024/03/14/us/politics/ireland-us-gaza.html,2024-03-14T22:33:56+0000,By Peter Baker and Zolan Kanno-Youngs,U.S.,
Only Biden and M.B.S. Can Redirect the Israeli-Palestinian Conflict,https://www.nytimes.com/2024/02/13/opinion/israel-hamas-gaza.html,2024-02-13T06:00:17+0000,By Thomas L. Friedman,Opinion,
Understanding the True Nature of the Hamas-Israel War,https://www.nytimes.com/2023/11/28/opinion/israel-palestinians-war-iran.html,2023-11-29T00:04:57+0000,By Thomas L. Friedman,Opinion,
Israel Is Silencing Internal Critics,https://www.nytimes.com/2023/11/02/opinion/israel-free-speech-hamas-palestine.html,2023-11-02T13:27:59+0000,By Michael Sfard,Opinion,
"Two Students, Two Views, One Campus Conflict in the Midwest",https://www.nytimes.com/2024/02/13/us/umich-palestinian-zionist.html,2024-02-13T20:33:54+0000,By Kurt Streeter,U.S.,
The Rising Risk of a New Forever War,https://www.nytimes.com/2024/09/30/opinion/international-world/the-rising-risk-of-a-new-forever-war.html,2024-09-30T17:36:46+0000,By Fawaz A. Gerges,Opinion,
Gaza Crisis Unites American Muslims in Anger and Mourning,https://www.nytimes.com/2023/10/13/us/israel-gaza-american-muslims.html,2023-10-14T03:20:51+0000,"By Jack Healy, Ernesto Londoño and Eileen Sullivan",U.S.,
The Palestine Double Standard,https://www.nytimes.com/2023/10/25/opinion/palestine-war-empathy.html,2023-10-25T09:02:31+0000,By Hala Alyan,Opinion,
Is Anti-Zionism Always Antisemitic? A Fraught Question for the Moment.,https://www.nytimes.com/2023/12/10/us/politics/anti-zionism-antisemitism.html,2023-12-10T10:01:04+0000,By Jonathan Weisman,U.S.,
Authors Call for a Boycott of Israeli Cultural Institutions,https://www.nytimes.com/2024/10/31/books/authors-letters-middle-east-war.html,2024-10-31T15:58:50+0000,By Alexandra Alter,Books,
Stop the Boycott of Israeli Culture,https://www.nytimes.com/2024/10/31/opinion/israel-palestinians-cultural-boycott.html,2024-10-31T05:00:05+0000,By Deborah Harris and Jessica Kasmer-Jacobs,Opinion,
"In Jordan, a Sprawling Palestinian Diaspora Looks Towards Gaza",https://www.nytimes.com/interactive/2023/12/20/magazine/jordan-palestinian-refugees.html,2023-12-20T22:30:16+0000,Photographs by Moises Saman,Magazine,
"Why Is Israel Targeting Jenin, in the West Bank?",https://www.nytimes.com/2025/01/22/world/middleeast/why-israel-targeting-jenin.html,2025-01-22T22:23:31+0000,By Ephrat Livni,World,
"Hamas May Emerge Battered, but Not Beaten, From Israel’s Latest Blows",https://www.nytimes.com/2024/08/04/world/middleeast/hamas-israel-gaza-future.html,2024-08-04T08:27:36+0000,By Erika Solomon,World,
Skepticism Grows Over Israel’s Ability to Dismantle Hamas,https://www.nytimes.com/2023/12/27/world/middleeast/israel-hamas-war-military.html,2023-12-27T10:05:05+0000,By Neil MacFarquhar,World,
We Must Not Kill Gazan Children to Try to Protect Israel’s Children,https://www.nytimes.com/2023/10/21/opinion/israel-gaza-palestine-children.html,2023-10-21T11:00:11+0000,By Nicholas Kristof,Opinion,
"For Palestinian Students Shot in Vermont, a Collision of Two Worlds",https://www.nytimes.com/2023/11/29/us/vermont-shooting-burlington-palestinian-american.html,2023-11-29T20:09:13+0000,By Anna Betts and Jenna Russell,U.S.,
Black and Jewish Activists Have Allied for Decades. What Now?,https://www.nytimes.com/2024/01/18/magazine/black-jewish-activists-palestine.html,2024-01-18T10:00:59+0000,By Daniel Bergner,Magazine,
"On Campus, a New Social Litmus Test: Zionist or Not?",https://www.nytimes.com/2024/05/22/style/jewish-college-students-zionism-israel.html,2024-05-22T09:03:21+0000,By Joseph Bernstein,Style,
Israel Has a Choice to Make: Rafah or Riyadh,https://www.nytimes.com/2024/04/26/opinion/israel-war-rafah-riyadh.html,2024-04-26T20:48:46+0000,By Thomas L. Friedman,Opinion,
Israel Has Invaded Lebanon Three Times Before. Here’s a Closer Look.,https://www.nytimes.com/2024/10/01/world/middleeast/israel-lebanon-invasions-history.html,2024-10-01T13:15:16+0000,By Matthew Mpoke Bigg,World,
Western Europe Is Starting to Send a Vital Warning to Israel,https://www.nytimes.com/2024/05/22/opinion/europe-palestine-recognized-israel.html,2024-05-22T18:18:03+0000,By Thomas L. Friedman,Opinion,
Israel Is Falling Into an Abyss,https://www.nytimes.com/2024/03/01/opinion/israel-gaza-palestinians-hostages.html,2024-03-01T10:02:11+0000,By David Grossman,Opinion,
New Palestinian Prime Minister Offers Little Hope for Change,https://www.nytimes.com/2024/03/15/world/europe/palestinian-authority-prime-minister.html,2024-03-15T04:00:48+0000,By Steven Erlanger and Adam Rasgon,World,
Myth and Reality in Israel’s Hostage Negotiations,https://www.nytimes.com/2024/02/27/opinion/israel-hostage-negotiations-entebbe.html,2024-02-27T10:03:31+0000,By Dahlia Scheindlin,Opinion,
The Next Stop for Denver Campus Protesters Is the Democratic Convention,https://www.nytimes.com/2024/08/17/us/campus-protests-denver-dnc.html,2024-08-17T09:00:47+0000,By Audra D. S. Burch and Kelley Manley,U.S.,
Transcript: Ezra Klein Interviews Amaney Jamal,https://www.nytimes.com/2023/11/03/podcasts/transcript-ezra-klein-interviews-amaney-jamal.html,2023-11-03T17:00:08+0000,,Podcasts,
Transcript: Ezra Klein Interviews Nimrod Novik,https://www.nytimes.com/2023/12/08/podcasts/transcript-ezra-klein-interviews-nimrod-novik.html,2023-12-08T20:35:29+0000,,Podcasts,
"At World Court, Israel to Confront Accusations of Genocide",https://www.nytimes.com/2024/01/10/world/middleeast/israel-genocide-case-south-africa-icj.html,2024-01-10T15:11:25+0000,By Isabel Kershner and John Eligon,World,
Release of Gazan Hospital Director Draws Outcry in Israel,https://www.nytimes.com/2024/07/01/world/middleeast/shifa-hospital-director-released.html,2024-07-01T11:58:16+0000,By Hiba Yazbek,World,
Biden Found Even Modest Israel-Palestinian Peace Steps Impossible,https://www.nytimes.com/2023/11/01/us/politics/biden-israel-palestinians-peace.html,2023-11-01T17:07:26+0000,By Michael Crowley,U.S.,
Teaching About the Israel-Hamas War,https://www.nytimes.com/2023/10/13/learning/teaching-about-the-israel-hamas-war.html,2023-10-13T22:58:46+0000,By The Learning Network,The Learning Network,
U.N. and Britain Denounce Israeli Attack in Gaza That Killed U.N. Workers,https://www.nytimes.com/2024/09/12/world/middleeast/un-school-gaza-israel.html,2024-09-12T22:00:11+0000,By Liam Stack and Thomas Fuller,World,
UNRWA: Stop Israel’s Violent Campaign Against Us,https://www.nytimes.com/2024/05/30/opinion/israel-gaza-un-unrwa.html,2024-05-30T05:00:08+0000,By Philippe Lazzarini,Opinion,
Hostage Deaths Fuel Israelis’ Doubts About Netanyahu,https://www.nytimes.com/2023/12/17/world/middleeast/netanyahu-israel-gaza-hostages-politics.html,2023-12-17T20:41:24+0000,By Steven Erlanger,World,
"As Fighting Rages in Gaza, Israel Issues Warnings on Another Front",https://www.nytimes.com/2023/12/11/world/middleeast/israel-hamas-gaza-hezbollah.html,2023-12-12T01:02:46+0000,"By Andrés R. Martínez, Neil MacFarquhar and Thomas Fuller",World,
"Navigating Israeli Restrictions, Many Palestinians Find It Hard to Reach Al Aqsa",https://www.nytimes.com/2024/03/11/world/middleeast/palestinians-al-aqsa-mosque-ramadan.html,2024-03-11T04:01:33+0000,By Raja Abdulrahim,World,
Over 100 Arrested at Columbia After Pro-Palestinian Protest,https://www.nytimes.com/2024/04/18/nyregion/columbia-university-protests-antisemitism.html,2024-04-18T15:53:52+0000,By Sharon Otterman and Alan Blinder,New York,
California’s Push for Ethnic Studies Runs Into the Israel-Hamas War,https://www.nytimes.com/2024/02/15/us/california-ethnic-studies-israel-gaza-war.html,2024-02-15T10:02:14+0000,By Dana Goldstein,U.S.,
Israelis Are Not Watching the Same War You Are,https://www.nytimes.com/2024/06/14/opinion/ezra-klein-podcast-amit-segal.html,2024-06-14T09:06:23+0000,By ‘The Ezra Klein Show',Opinion,
The Israel-Hamas War Will Reshape Western Politics,https://www.nytimes.com/2023/11/01/opinion/israel-hamas-gaza-war-politics.html,2023-11-01T09:03:09+0000,By Ross Douthat,Opinion,
"For Democrats, Crisis in Israel Could Be a Unifying Force",https://www.nytimes.com/2023/10/12/us/politics/democrats-israel-hamas-war-palestine.html,2023-10-12T09:03:45+0000,By Lisa Lerer and Jennifer Medina,U.S.,
"After Antisemitic Attacks, Colleges Debate What Kind of Speech Is Out of Bounds",https://www.nytimes.com/2023/11/09/us/antisemitic-speech-palestine-israel-protests.html,2023-11-09T10:01:21+0000,By Anemona Hartocollis and Stephanie Saul,U.S.,
‘We Are Not Very Far From an Explosion’,https://www.nytimes.com/2024/01/31/magazine/west-bank-palestinians-settlers.html,2024-01-31T10:02:42+0000,By Roger Cohen,Magazine,
"Israel Pushes Deeper Into Rafah, Defying International Opinion",https://www.nytimes.com/2024/05/23/world/middleeast/israel-rafah-gaza.html,2024-05-23T23:00:14+0000,By Matthew Mpoke Bigg and Aaron Boxerman,World,
